============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  04:12:25 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                      Module                  Cell Count  Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------
ModRed                                                         24022  74764.620     0.000    74764.620 <none> (D)  
              m4 ka_2x2_927                                        7      8.208     0.000        8.208 <none> (D)  
          i3     ka_8x8_58                                       194    392.958     0.000      392.958 <none> (D)  
            m1   ka_4x4_232                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_928                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_929                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_930                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_931                                        7      8.208     0.000        8.208 <none> (D)  
            m2   ka_4x4_233                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_932                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_933                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_934                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_935                                        7      8.208     0.000        8.208 <none> (D)  
            m3   ka_4x4_234                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_936                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_937                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_938                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_939                                        7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_235                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_940                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_941                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_942                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_943                                        7      8.208     0.000        8.208 <none> (D)  
          i4     ka_8x8_59                                       194    392.958     0.000      392.958 <none> (D)  
            m1   ka_4x4_236                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_944                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_945                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_946                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_947                                        7      8.208     0.000        8.208 <none> (D)  
            m2   ka_4x4_237                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_948                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_949                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_950                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_951                                        7      8.208     0.000        8.208 <none> (D)  
            m3   ka_4x4_238                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_952                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_953                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_954                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_955                                        7      8.208     0.000        8.208 <none> (D)  
            m4   ka_4x4_239                                       42     75.582     0.000       75.582 <none> (D)  
              m1 ka_2x2_956                                        7      8.208     0.000        8.208 <none> (D)  
              m2 ka_2x2_957                                        7      8.208     0.000        8.208 <none> (D)  
              m3 ka_2x2_958                                        7      8.208     0.000        8.208 <none> (D)  
              m4 ka_2x2_959                                        7      8.208     0.000        8.208 <none> (D)  
  genblk1[1].mrs ka_ModRed_sub_CURR_DATA119_NEXT_DATA110        3656  11614.320     0.000    11614.320 <none> (D)  
    qH_mul_T2    ka_wI64_wO128_1                                3192   8990.154     0.000     8990.154 <none> (D)  
      i1         ka_32x32_4                                      571   1664.172     0.000     1664.172 <none> (D)  
        m1_16    ka_16x16_16                                     120    295.146     0.000      295.146 <none> (D)  
          i2     ka_8x8_65                                        41     82.080     0.000       82.080 <none> (D)  
            m2   ka_4x4_261                                        3      4.788     0.000        4.788 <none> (D)  
              m4 ka_2x2_1047                                       3      4.788     0.000        4.788 <none> (D)  
            m3   ka_4x4_262                                        3      4.788     0.000        4.788 <none> (D)  
              m4 ka_2x2_1051                                       3      4.788     0.000        4.788 <none> (D)  
            m4   ka_4x4_263                                       27     56.772     0.000       56.772 <none> (D)  
              m1 ka_2x2_1052                                       3      4.788     0.000        4.788 <none> (D)  
              m2 ka_2x2_1053                                       6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_1054                                       6      7.524     0.000        7.524 <none> (D)  
          i4     ka_8x8_67                                        71    184.338     0.000      184.338 <none> (D)  
            m1   ka_4x4_268                                       12     21.546     0.000       21.546 <none> (D)  
              m2 ka_2x2_1073                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_269                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1076                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1077                                       6      7.524     0.000        7.524 <none> (D)  
            m3   ka_4x4_270                                       12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_1081                                       6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_17                                     303    848.160     0.000      848.160 <none> (D)  
          i1     ka_8x8_68                                       101    256.158     0.000      256.158 <none> (D)  
            m1   ka_4x4_272                                       27     56.772     0.000       56.772 <none> (D)  
              m1 ka_2x2_1088                                       3      4.788     0.000        4.788 <none> (D)  
              m2 ka_2x2_1089                                       6      7.524     0.000        7.524 <none> (D)  
              m3 ka_2x2_1090                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_273                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1092                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1093                                       6      7.524     0.000        7.524 <none> (D)  
            m3   ka_4x4_274                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1096                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1097                                       6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_69                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_276                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1104                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1105                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_277                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1108                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1109                                       6      7.524     0.000        7.524 <none> (D)  
          i3     ka_8x8_70                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_280                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1120                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1121                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_281                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1124                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1125                                       6      7.524     0.000        7.524 <none> (D)  
        m3_16    ka_16x16_18                                      85    234.954     0.000      234.954 <none> (D)  
          i2     ka_8x8_73                                        61    167.922     0.000      167.922 <none> (D)  
            m1   ka_4x4_292                                       12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_1169                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_293                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1172                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1173                                       6      7.524     0.000        7.524 <none> (D)  
      i2         ka_32x32_5                                      517   1573.200     0.000     1573.200 <none> (D)  
        m1_16    ka_16x16_20                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_80                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_320                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1280                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1281                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_321                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1284                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1285                                       6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_81                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_324                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1296                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1297                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_325                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1300                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1301                                       6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_21                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_84                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_336                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1344                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1345                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_337                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1348                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1349                                       6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_85                                        78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_340                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1360                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1361                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_341                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1364                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1365                                       6      7.524     0.000        7.524 <none> (D)  
      i3         ka_32x32_6                                      678   1807.470     0.000     1807.470 <none> (D)  
        m1_16    ka_16x16_24                                      85    234.954     0.000      234.954 <none> (D)  
          i2     ka_8x8_97                                        61    167.922     0.000      167.922 <none> (D)  
            m1   ka_4x4_388                                       12     23.256     0.000       23.256 <none> (D)  
              m2 ka_2x2_1553                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_389                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1556                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1557                                       6      7.524     0.000        7.524 <none> (D)  
        m2_16    ka_16x16_25                                     206    598.842     0.000      598.842 <none> (D)  
          i1     ka_8x8_100                                       78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_400                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1600                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1601                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_401                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1604                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1605                                       6      7.524     0.000        7.524 <none> (D)  
          i2     ka_8x8_101                                       78    206.226     0.000      206.226 <none> (D)  
            m1   ka_4x4_404                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1616                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1617                                       6      7.524     0.000        7.524 <none> (D)  
            m2   ka_4x4_405                                       26     57.798     0.000       57.798 <none> (D)  
              m1 ka_2x2_1620                                       6      7.524     0.000        7.524 <none> (D)  
              m2 ka_2x2_1621                                       6      7.524     0.000        7.524 <none> (D)  
